,features,label
383,"[5.0,735897.0,735911.0,14.0,13.0]",2.0
384,"[1.0,735880.0,735907.0,27.0,5.0]",0.0
385,"[2.0,735904.0,735908.0,4.0,9.0]",1.0
386,"[0.0,735931.0,735948.0,17.0,33.0]",1.0
387,"[4.0,735851.0,735860.0,9.0,56.0]",3.0
388,"[6.0,735928.0,735952.0,24.0,208.0]",0.0
389,"[4.0,735828.0,735853.0,25.0,1.0]",2.0
390,"[2.0,735960.0,735985.0,25.0,120.0]",2.0
391,"[2.0,735946.0,735957.0,11.0,69.0]",0.0
392,"[1.0,735892.0,735921.0,29.0,59.0]",2.0
393,"[4.0,735901.0,735930.0,29.0,43.0]",3.0
394,"[5.0,735839.0,735862.0,23.0,10.0]",0.0
395,"[1.0,735814.0,735837.0,23.0,34.0]",1.0
396,"[1.0,735803.0,735837.0,34.0,36.0]",3.0
397,"[1.0,735802.0,735823.0,21.0,118.0]",3.0
398,"[2.0,735806.0,735824.0,18.0,78.0]",0.0
399,"[5.0,735901.0,735932.0,31.0,9.0]",3.0
400,"[1.0,735905.0,735935.0,30.0,0.0]",1.0
401,"[1.0,735907.0,735935.0,28.0,52.0]",0.0
402,"[6.0,735862.0,735875.0,13.0,32.0]",0.0
403,"[0.0,735822.0,735836.0,14.0,16.0]",3.0
404,"[1.0,735828.0,735830.0,2.0,73.0]",3.0
405,"[5.0,735895.0,735904.0,9.0,22.0]",1.0
406,"[0.0,735831.0,735850.0,19.0,78.0]",1.0
407,"[2.0,735849.0,735866.0,17.0,158.0]",3.0
408,"[2.0,735872.0,735887.0,15.0,20.0]",2.0
409,"[6.0,735880.0,735889.0,9.0,113.0]",2.0
410,"[5.0,735837.0,735841.0,4.0,51.0]",1.0
411,"[2.0,735870.0,735894.0,24.0,32.0]",2.0
412,"[5.0,735929.0,735946.0,17.0,96.0]",3.0
413,"[5.0,735873.0,735897.0,24.0,195.0]",2.0
414,"[0.0,735963.0,735983.0,20.0,120.0]",1.0
415,"[3.0,735877.0,735905.0,28.0,301.0]",1.0
416,"[5.0,735910.0,735925.0,15.0,6.0]",2.0
417,"[0.0,735959.0,735976.0,17.0,85.0]",0.0
418,"[2.0,735953.0,735964.0,11.0,279.0]",1.0
419,"[0.0,735918.0,735934.0,16.0,12.0]",3.0
420,"[2.0,735931.0,735936.0,5.0,81.0]",2.0
421,"[2.0,735944.0,735971.0,27.0,8.0]",3.0
422,"[6.0,735919.0,735931.0,12.0,112.0]",3.0
423,"[0.0,735842.0,735843.0,1.0,74.0]",2.0
424,"[5.0,735946.0,735953.0,7.0,9.0]",1.0
425,"[3.0,735805.0,735828.0,23.0,3.0]",1.0
426,"[6.0,735861.0,735882.0,21.0,70.0]",0.0
427,"[0.0,735898.0,735927.0,29.0,107.0]",1.0
428,"[2.0,735931.0,735943.0,12.0,42.0]",0.0
429,"[0.0,735804.0,735808.0,4.0,9.0]",3.0
430,"[2.0,735871.0,735873.0,2.0,25.0]",1.0
431,"[5.0,735813.0,735841.0,28.0,23.0]",1.0
432,"[2.0,735824.0,735838.0,14.0,10.0]",0.0
433,"[6.0,735925.0,735959.0,34.0,51.0]",1.0
434,"[6.0,735850.0,735875.0,25.0,45.0]",3.0
435,"[3.0,735819.0,735835.0,16.0,45.0]",2.0
436,"[5.0,735943.0,735960.0,17.0,137.0]",0.0
437,"[0.0,735918.0,735920.0,2.0,3.0]",1.0
438,"[6.0,735857.0,735889.0,32.0,54.0]",1.0
439,"[5.0,735817.0,735827.0,10.0,30.0]",2.0
440,"[1.0,735903.0,735935.0,32.0,4.0]",2.0
441,"[2.0,735834.0,735845.0,11.0,75.0]",3.0
442,"[3.0,735889.0,735898.0,9.0,39.0]",0.0
443,"[2.0,735824.0,735845.0,21.0,40.0]",3.0
444,"[5.0,735877.0,735890.0,13.0,148.0]",2.0
445,"[2.0,735864.0,735866.0,2.0,159.0]",2.0
446,"[0.0,735856.0,735864.0,8.0,17.0]",3.0
447,"[1.0,735902.0,735907.0,5.0,69.0]",3.0
448,"[5.0,735905.0,735932.0,27.0,34.0]",3.0
449,"[5.0,735845.0,735862.0,17.0,67.0]",2.0
